iter	MultiClass
0	1.057771691
1	1.021171375
2	0.9878458488
3	0.9573531757
4	0.9284569399
5	0.9025778204
6	0.8789636588
7	0.8560860479
8	0.8343045133
9	0.8151162562
10	0.7970273681
11	0.7796342188
12	0.7625137273
13	0.7458614591
14	0.7316708229
15	0.7180883871
16	0.704840641
17	0.6922179528
18	0.680051629
19	0.6679340548
20	0.6564907419
21	0.6453021326
22	0.6359788948
23	0.626312393
24	0.6163538799
25	0.6070988809
26	0.5983792793
27	0.5902791703
28	0.5824306288
29	0.5750264567
30	0.5678464565
31	0.5613848399
32	0.5548630987
33	0.5488162319
34	0.5426539049
35	0.5374157891
36	0.5320383946
37	0.5264327383
38	0.520865738
39	0.5152241946
40	0.5103201935
41	0.5056999433
42	0.501918798
43	0.497831934
44	0.4929064022
45	0.4887431428
46	0.4844041181
47	0.4802298101
48	0.4766204608
49	0.4731712741
50	0.4700009576
51	0.46703904
52	0.4637787183
53	0.4606491138
54	0.4578065262
55	0.4547147705
56	0.452214415
57	0.4494706534
58	0.4471126057
59	0.4439200317
60	0.4414772049
61	0.4385327743
62	0.4359969503
63	0.4334314031
64	0.4310664649
65	0.4288558618
66	0.4266932666
67	0.4246330603
68	0.422696628
69	0.420769931
70	0.4187668272
71	0.4169902351
72	0.4148923426
73	0.4129080759
74	0.4109706396
75	0.4089673243
76	0.4072354052
77	0.4056784286
78	0.4040376169
79	0.4022747577
80	0.4004107765
81	0.3987404777
82	0.3967964166
83	0.3953766357
84	0.3940305612
85	0.3924656428
86	0.3911393975
87	0.3900690965
88	0.3888874184
89	0.3875496149
90	0.3861462503
91	0.3850778053
92	0.3839073425
93	0.3827431718
94	0.3817152231
95	0.3803257693
96	0.3792595542
97	0.3781962906
98	0.3770053393
99	0.3757777217
100	0.3744918771
101	0.3731903693
102	0.3720148745
103	0.3707832888
104	0.3697663305
105	0.3688998804
106	0.367897841
107	0.3671097231
108	0.3662131662
109	0.3650054268
110	0.3639393545
111	0.3631522322
112	0.3622190082
113	0.3613524048
114	0.3605795068
115	0.3598181088
116	0.3590588787
117	0.3581886071
118	0.3575625936
119	0.3566793575
120	0.3559547319
121	0.3548707454
122	0.3539775744
123	0.3532279505
124	0.352518676
125	0.3516756478
126	0.351002054
127	0.3502716679
128	0.349514338
129	0.3489278212
130	0.3480291156
131	0.3471544401
132	0.3464697067
133	0.3458193128
134	0.345207698
135	0.3445112117
136	0.3440702424
137	0.3435827131
138	0.3431609071
139	0.3424428545
140	0.3418968307
141	0.3414110362
142	0.3408403776
143	0.3403622536
144	0.3397333219
145	0.3392341142
146	0.3387784097
147	0.3381988163
148	0.3375127386
149	0.3371489653
150	0.3364211751
151	0.3358729924
152	0.3353456881
153	0.334740432
154	0.334332135
155	0.3339860032
156	0.333352437
157	0.3328987764
158	0.332362986
159	0.3319315775
160	0.3315837116
161	0.3311452423
162	0.3307348318
163	0.3302733897
164	0.3298455699
165	0.3293435258
166	0.3290325064
167	0.3285313013
168	0.3282377336
169	0.3275782087
170	0.327243717
171	0.3267009803
172	0.3261931724
173	0.3257922117
174	0.3254201994
175	0.3250389551
176	0.324690909
177	0.3242437981
178	0.3238660817
179	0.3235104939
180	0.3229868263
181	0.3224414693
182	0.3220363881
183	0.3217116992
184	0.3213701653
185	0.3210323539
186	0.3207009125
187	0.3202911805
188	0.3200370023
189	0.3197285667
190	0.3194604373
191	0.3191197271
192	0.318689275
193	0.318359298
194	0.3180546488
195	0.3178278466
196	0.3173489118
197	0.3170020761
198	0.3167266162
199	0.3164935822
200	0.3161354644
201	0.3158764201
202	0.3155517786
203	0.3149833408
204	0.3147071235
205	0.3144862589
206	0.3141069189
207	0.313769815
208	0.3135318491
209	0.3131418899
210	0.3128777856
211	0.3125064272
212	0.3122636871
213	0.3120249085
214	0.3116379062
215	0.3112864072
216	0.310976535
217	0.3106729707
218	0.3103875497
219	0.3101063807
220	0.3098533943
221	0.3094887771
222	0.3091121349
223	0.3087603189
224	0.3085646362
225	0.3082988474
226	0.3079215134
227	0.3075989314
228	0.3072022159
229	0.3068542675
230	0.3066650811
