iter	Passed	Remaining
0	230	229827
1	316	157698
2	398	132388
3	485	120943
4	577	114985
5	663	109988
6	751	106557
7	836	103707
8	924	101788
9	1006	99690
10	1084	97506
11	1163	95765
12	1240	94176
13	1326	93449
14	1407	92449
15	1486	91450
16	1572	90899
17	1656	90383
18	1746	90150
19	1832	89801
20	1918	89425
21	2008	89278
22	2090	88813
23	2167	88146
24	2257	88036
25	2348	87961
26	2436	87814
27	2517	87402
28	2604	87191
29	2690	86988
30	2780	86904
31	2860	86542
32	2948	86409
33	3058	86887
34	3263	89981
35	3515	94145
36	3727	97018
37	3927	99416
38	4125	101664
39	4255	102135
40	4353	101818
41	4489	102414
42	4576	101843
43	4672	101516
44	4763	101081
45	4844	100473
46	4944	100250
47	5028	99736
48	5108	99152
49	5199	98792
50	5276	98193
51	5355	97642
52	5445	97299
53	5537	97003
54	5627	96697
55	5715	96347
56	5867	97071
57	6025	97868
58	6132	97814
59	6220	97448
60	6314	97195
61	6407	96940
62	6489	96513
63	6587	96347
64	6667	95904
65	6747	95491
66	6832	95142
67	6965	95466
68	7115	96007
69	7209	95784
70	7340	96050
71	7450	96032
72	7532	95646
73	7622	95379
74	7713	95135
75	7848	95427
76	8011	96038
77	8112	95896
78	8202	95631
79	8308	95550
80	8393	95233
81	8492	95077
82	8598	95000
83	8697	94848
84	8808	94818
85	8905	94649
86	9005	94511
87	9162	94959
88	9271	94905
89	9387	94916
90	9492	94823
91	9586	94614
92	9692	94526
93	9788	94346
94	9901	94326
95	10001	94182
96	10096	93987
97	10196	93850
98	10305	93792
99	10418	93769
100	10518	93621
101	10607	93388
102	10685	93058
103	10786	92928
104	10887	92802
105	10989	92681
106	11084	92505
107	11183	92369
108	11259	92042
109	11354	91871
110	11445	91667
111	11535	91461
112	11628	91282
113	11717	91069
114	11810	90890
115	11905	90724
116	11995	90533
117	12090	90369
118	12177	90150
119	12272	89996
120	12358	89778
121	12462	89690
122	12554	89512
123	12642	89309
124	12734	89139
125	12824	88958
126	12905	88715
127	12996	88541
128	13085	88352
129	13169	88132
130	13257	87946
131	13350	87789
132	13437	87595
133	13524	87406
134	13611	87216
135	13706	87079
136	13790	86867
137	13881	86706
138	13970	86534
139	14063	86389
140	14154	86231
141	14244	86069
142	14337	85922
143	14423	85740
144	14522	85633
145	14608	85452
146	14700	85302
147	14791	85148
148	14887	85025
149	14971	84839
150	15070	84733
151	15155	84553
152	15240	84372
153	15329	84213
154	15420	84065
155	15512	83927
156	15601	83770
157	15694	83638
158	15784	83491
159	15873	83335
160	15962	83181
161	16059	83074
162	16144	82902
163	16235	82759
164	16321	82597
165	16419	82492
166	16511	82358
167	16592	82171
168	16675	81994
169	16838	82209
170	17005	82441
171	17271	83145
172	17477	83546
173	17664	83855
174	17798	83905
175	17893	83773
176	17975	83579
177	18063	83415
178	18148	83237
179	18221	83011
180	18313	82868
181	18399	82697
182	18485	82529
183	18566	82338
184	18647	82147
